date,ODP,XRT
2012-09-19,2.69,64.66
2012-09-20,2.61,64.48
2012-09-21,2.65,64.02
2012-09-24,2.62,63.555
2012-09-25,2.58,62.6632
2012-09-26,2.57,62.47
2012-09-27,2.58,63.04
2012-09-28,2.56,62.75
2012-10-01,2.47,62.56
2012-10-02,2.32,62.21
2012-10-03,2.27,62.57
2012-10-04,2.46,63.55
2012-10-05,2.28,63.68
2012-10-08,2.32,64.03
2012-10-09,2.31,62.92
2012-10-10,2.26,62.67
2012-10-11,2.37,62.61
2012-10-12,2.34,62.23
2012-10-15,2.36,62.57
2012-10-16,2.35,63.04
2012-10-17,2.33,63.18
2012-10-18,2.43,63.31
2012-10-19,2.41,62.21
2012-10-22,2.58,62.14
2012-10-23,2.53,61.82
2012-10-24,2.47,61.58
2012-10-25,2.45,61.39
2012-10-26,2.39,61.62
2012-10-31,2.48,62.31
2012-11-01,2.52,63.47
2012-11-02,2.52,62.7998
2012-11-05,2.51,63.01
2012-11-06,2.99,63.77
2012-11-07,2.88,62.6
2012-11-08,2.76,61.24
2012-11-09,2.86,60.92
2012-11-12,2.9,60.71
2012-11-13,2.97,60.91
2012-11-14,2.87,60.16
2012-11-15,2.96,60.2
2012-11-16,2.79,60.35
2012-11-19,3.0,61.85
2012-11-20,2.98,61.85
2012-11-21,3.03,62.26
2012-11-23,3.05,63.2
2012-11-26,3.12,62.59
2012-11-27,3.25,62.74
2012-11-28,3.27,63.82
2012-11-29,3.35,63.36
2012-11-30,3.36,63.27
2012-12-03,3.31,63.0398
2012-12-04,3.29,62.79
2012-12-05,3.28,62.55
2012-12-06,3.31,62.74
2012-12-07,3.3,62.77
2012-12-10,3.41,62.43
2012-12-11,3.42,62.64
2012-12-12,3.37,62.32
2012-12-13,3.44,62.33
2012-12-14,3.42,62.07
2012-12-17,3.49,63.09
2012-12-18,3.54,63.7
2012-12-19,3.56,63.55
2012-12-20,3.38,63.4311
2012-12-21,3.47,62.28
2012-12-24,3.37,62.17
2012-12-26,3.33,61.09
2012-12-27,3.21,61.22
2012-12-28,3.27,60.91
