date,IVZ,KCE,beta,value,price
2014-05-12,36.17,47.85,0.7334495334915226,1.0744398224306408,31.07443982243064
2014-05-13,36.04,47.49,0.734148553476932,1.1752851953804964,31.175285195380496
2014-05-14,35.58,46.8,0.7348747354245821,1.187862382129559,31.18786238212956
2014-05-15,34.62,45.58,0.7358290247707108,1.080913050951004,31.080913050951004
2014-05-16,34.69,45.62,0.7366627513790448,1.083445282087979,31.08344528208798
2014-05-19,35.12,46.2,0.7376449017793918,1.040805537792096,31.040805537792096
2014-05-20,34.94,45.48,0.738677032019005,1.3449685837756533,31.344968583775653
2014-05-21,35.3,46.18,0.7398827258144077,1.1322157218906455,31.132215721890645
2014-05-22,35.42,46.54,0.7410523955429643,0.9314215114304432,30.931421511430443
2014-05-23,35.67,46.78,0.7422027441115138,0.9497556304633861,30.949755630463386
2014-05-27,36.05,47.17,0.7431420461748602,0.9959896819318388,30.99598968193184
2014-05-28,35.94,46.93,0.7440824941177501,1.0202085510539902,31.02020855105399
2014-05-29,36.63,47.04,0.7452049719369932,1.5755581200838407,31.57555812008384
2014-05-30,36.7,46.92,0.7465155193254165,1.673491833251461,31.67349183325146
2014-06-02,36.81,47.01,0.7478876052750623,1.6518036760193269,31.651803676019327
2014-06-03,37.08,47.16,0.7493624835955769,1.7400652736325952,31.740065273632595
2014-06-04,37.27,47.61,0.7508649673753734,1.521318903258475,31.521318903258475
2014-06-05,37.66,48.12,0.7522183155519142,1.4632546556418902,31.46325465564189
2014-06-06,38.18,48.67,0.7534659524850597,1.508812092552148,31.508812092552148
2014-06-09,38.2,48.9,0.7544678157356811,1.3065238105251993,31.3065238105252
2014-06-10,37.97,48.53,0.7555383076874411,1.3037259279284825,31.303725927928483
2014-06-11,37.87,48.09,0.7566489099293553,1.4827539214972987,31.4827539214973
2014-06-12,37.68,47.89,0.757877313269434,1.3852554675268038,31.385255467526804
2014-06-13,37.24,47.89,0.7591372318692914,0.8849179657796356,30.884917965779636
2014-06-16,37.07,47.9,0.7602267818900332,0.655137147467407,30.655137147467407
2014-06-17,37.35,48.84,0.7610986225894669,0.1779432727304311,30.17794327273043
2014-06-18,37.31,49.15,0.7616673459282156,-0.1259500523717918,29.874049947628208
