date,AEP,XLU,beta,value,price
2011-03-31,35.14,31.87,1.1198784978339875,-0.5505277259691823,29.449472274030818
2011-04-01,35.52,32.12,1.1190243165778864,-0.42306104848170634,29.576938951518294
2011-04-04,35.45,32.1,1.1183973363367161,-0.4505544964085857,29.549445503591414
2011-04-05,35.3,31.97,1.1176698723795009,-0.4319058199726413,29.56809418002736
2011-04-06,35.57,32.2,1.117077994418443,-0.3999114202738667,29.600088579726133
2011-04-07,35.47,32.07,1.1165186891588774,-0.3367543613251982,29.663245638674802
2011-04-08,35.31,31.98,1.115927560051452,-0.3773633704454298,29.62263662955457
2011-04-11,34.78,31.56,1.1153840635496042,-0.42152104562550363,29.578478954374496
2011-04-12,34.59,31.48,1.114941068003645,-0.5083448207547363,29.491655179245264
2011-04-13,34.92,31.56,1.114645805364345,-0.25822161729873017,29.74177838270127
2011-04-14,35.17,31.75,1.1141207900789412,-0.20333508500637976,29.79666491499362
2011-04-15,35.46,32.1,1.1137079046671305,-0.2900237398148917,29.70997626018511
2011-04-18,35.31,31.82,1.1131060920529743,-0.10903584912563957,29.89096415087436
2011-04-19,35.13,31.83,1.1125887475827094,-0.2836998355576341,29.716300164442366
2011-04-20,35.53,32.24,1.111910471421886,-0.3179935986415998,29.6820064013584
2011-04-21,35.49,32.24,1.111221117608853,-0.33576883170941585,29.664231168290584
2011-04-25,35.59,32.28,1.1105727439043287,-0.2592881732317309,29.74071182676827
2011-04-26,35.88,32.54,1.109874806805746,-0.23532621345896843,29.76467378654103
2011-04-27,36.23,32.8,1.1093684131835693,-0.15728395242107496,29.842716047578925
2011-04-28,36.38,33.09,1.1090284445639529,-0.31775123062120514,29.682248769378795
2011-04-29,36.48,33.16,1.1086374438529574,-0.2824176381640626,29.717582361835937
2011-05-02,36.54,33.17,1.1082948501211245,-0.22214017851770507,29.777859821482295
2011-05-03,36.95,33.38,1.1079861900769181,-0.03457902476752395,29.965420975232476
2011-05-04,36.64,33.34,1.1077671094468853,-0.2929554289591607,29.70704457104084
2011-05-05,36.66,33.1,1.1073025516054251,0.008285541860423962,30.008285541860424
2011-05-06,36.33,33.29,1.1071020959628064,-0.5254287746018278,29.474571225398172
2011-05-09,36.48,33.36,1.1066552914261816,-0.43802052197742114,29.56197947802258
2011-05-10,36.85,33.84,1.1063502431711971,-0.5888922289133163,29.411107771086684
2011-05-11,36.86,33.73,1.105790821210636,-0.4383243994347481,29.561675600565252
2011-05-12,37.63,34.07,1.1053521685236338,-0.029348381600200923,29.9706516183998
2011-05-13,37.58,33.91,1.1050265085523319,0.1085510949904318,30.108551094990432
2011-05-16,37.72,33.95,1.104763366184153,0.21328371804800383,30.213283718048004
2011-05-17,38.85,34.2,1.1045460469896224,1.0745251929549084,31.07452519295491
2011-05-18,38.74,34.09,1.104871876692936,1.0749177235378085,31.07491772353781
2011-05-19,38.48,34.17,1.1051992864407691,0.7153403823189137,30.715340382318914
2011-05-20,38.55,34.13,1.1054143763568987,0.8222073349390442,30.822207334939044
2011-05-23,38.39,33.73,1.105758011854962,1.0927822601321395,31.09278226013214
2011-05-24,38.85,33.7,1.106258560714508,1.5690865039210848,31.569086503921085
2011-05-25,38.53,33.63,1.1069644721726934,1.3027848008323204,31.30278480083232
2011-05-26,38.37,33.62,1.1075988929697669,1.1325252183564345,31.132525218356434
2011-05-27,38.32,33.62,1.1080366599363043,1.067807492941455,31.067807492941455
2011-05-31,38.2,33.87,1.1084594003053478,0.6564801116578778,30.656480111657878
