date,STT,KCE,beta,value,price
2017-11-22,92.67,54.7345,1.810586869127226,-6.431566988244143,23.568433011755857
2017-11-24,92.46,54.63,1.807450556113613,-6.281023880486686,23.718976119513314
2017-11-27,91.36,54.71,1.8043953033449092,-7.358467045999987,22.641532954000013
2017-11-28,93.14,55.53,1.8010639675926372,-6.8730821204191415,23.12691787958086
2017-11-29,94.68,56.27,1.7977497340520516,-6.479377535108938,23.520622464891062
2017-11-30,95.35,56.64,1.7943494012480061,-6.281950086687075,23.718049913312925
2017-12-01,95.48,56.72,1.7909406153698402,-6.102151703777324,23.897848296222676
2017-12-04,97.1,57.63,1.7875187157296344,-5.914703587498835,24.085296412501165
2017-12-05,96.83,57.0848,1.7837886514921986,-4.997218412701855,25.002781587298145
2017-12-06,96.52,57.01,1.7801701008673336,-4.967497450446686,25.032502549553314
2017-12-07,96.92,57.33,1.776574892309137,-4.931038576082813,25.068961423917187
2017-12-08,97.67,57.7701,1.7731135958512156,-4.762949743684317,25.237050256315683
2017-12-11,97.41,57.42,1.7697934907264534,-4.211542237512958,25.78845776248704
2017-12-12,98.18,57.86,1.7665298687757522,-4.0314182073650215,25.96858179263498
2017-12-13,99.18,57.35,1.763280545744892,-1.9441392984695511,28.05586070153045
2017-12-14,97.97,56.85,1.7605342380741043,-2.1163714345128284,27.88362856548717
2017-12-15,98.53,57.34,1.7577921752140677,-2.261803326774654,27.738196673225346
2017-12-18,98.21,57.75,1.7549884906228215,-3.140585333467939,26.85941466653206
2017-12-19,97.87,57.56,1.7520970216703284,-2.9807045673441053,27.019295432655895
2017-12-20,97.08,57.56,1.7495445064178436,-3.6237817894110833,26.376218210588917
2017-12-21,98.31,57.94,1.7470740069810733,-2.9154679644833834,27.084532035516617
2017-12-22,97.93,57.9099,1.7447529713802326,-3.108470097332116,26.891529902667884
2017-12-26,97.44,57.79,1.7423444382162103,-3.2500850845147937,26.749914915485206
2017-12-27,97.71,57.6295,1.7400692831942597,-2.5693227558436007,27.4306772441564
2017-12-28,98.23,57.9,1.7379453717602733,-2.397037024919811,27.60296297508019
2017-12-29,97.61,57.94,1.7358637729974358,-2.965947007471428,27.034052992528572
2018-01-02,96.72,57.45,1.73356149758617,-2.873108036325476,27.126891963674524
2018-01-03,97.43,57.79,1.7308969475858986,-2.598534600989069,27.40146539901093
2018-01-04,98.48,58.38,1.7282120286916236,-2.4130182350169918,27.58698176498301
2018-01-05,98.57,58.78,1.7257248285448996,-2.8681054218692026,27.131894578130797
2018-01-08,99.65,59.0,1.722822846188353,-1.9965479251128215,28.00345207488718
2018-01-09,101.4,59.46,1.7201346813566212,-0.8792081534646883,29.12079184653531
2018-01-10,104.25,59.53,1.7180182493312017,1.9763736173135555,31.976373617313556
2018-01-11,105.78,60.01,1.7165974599951652,2.766986425690135,32.766986425690135
