date,INTC,XLK,beta,value,price
2011-06-17,21.19,24.445,0.8362126109201896,0.7487827260559676,30.748782726055968
2011-06-20,21.325,24.5425,0.8372737128684182,0.776209901926844,30.776209901926844
2011-06-21,21.65,24.98,0.8385371881987332,0.7033410387956422,30.703341038795642
2011-06-22,21.395,24.8,0.8398283043029651,0.5672580532864657,30.567258053286466
2011-06-23,21.71,24.97,0.8410404398573312,0.7092202167624393,30.70922021676244
2011-06-24,21.2,24.54,0.8425077784939374,0.5248591157587761,30.524859115758776
2011-06-27,21.34,24.87,0.8438299725065703,0.3539485837615963,30.353948583761596
2011-06-28,21.49,25.18,0.845229133574558,0.20713041659262998,30.20713041659263
2011-06-29,21.39,25.38,0.8468316577913406,-0.10258747474422236,29.897412525255778
2011-06-30,22.16,25.7,0.8483613421010007,0.3571135080042822,30.357113508004282
2011-07-01,22.53,26.12,0.8500449301538062,0.32682642438258114,30.32682642438258
2011-07-05,22.44,26.16,0.8517002688706962,0.1595209663425905,30.15952096634259
2011-07-06,22.75,26.28,0.8532283538012961,0.32715886210193545,30.327158862101935
2011-07-07,23.23,26.6,0.854807530348563,0.49211969272822387,30.492119692728224
2011-07-08,23.09,26.47,0.8564350556611822,0.42016407664850774,30.420164076648508
2011-07-11,22.85,26.03,0.8581436882820742,0.51251979401761,30.51251979401761
2011-07-12,22.45,25.8,0.8600200828407837,0.26148186270777884,30.26148186270778
2011-07-13,22.48,25.86,0.8618611546394981,0.19227054102258023,30.19227054102258
2011-07-14,22.27,25.64,0.8635481161727387,0.12862630133097852,30.12862630133098
2011-07-15,22.37,25.92,0.8651630542485843,-0.05502636612330747,29.944973633876693
2011-07-18,22.28,25.83,0.8665755696534488,-0.10364696414858088,29.89635303585142
2011-07-19,23.06,26.45,0.8673061178600352,0.11975318260206791,30.119753182602068
2011-07-20,22.99,26.37,0.8683006742166642,0.09291122090656145,30.09291122090656
2011-07-21,22.81,26.49,0.8689910754371142,-0.20957358832915318,29.790426411670847
2011-07-22,23.13,26.72,0.8692680431767852,-0.09684211368369944,29.9031578863163
2011-07-25,23.03,26.65,0.869619070231287,-0.14534822166379868,29.8546517783362
2011-07-26,22.895,26.77,0.8698368335150978,-0.3905320331991682,29.609467966800832
