date,MSFT,XLK,beta,value,price
2013-11-18,37.2,34.17,1.0476298483162194,1.4024880830347826,31.402488083034783
2013-11-19,36.74,34.05,1.0478003040912478,1.06239964569302,31.06239964569302
2013-11-20,37.08,33.94,1.0480128113776976,1.510445181840943,31.510445181840943
2013-11-21,37.4,34.23,1.0486147820455844,1.5059160105796465,31.505916010579647
2013-11-22,37.57,34.16,1.0493547685970548,1.7240411047246127,31.724041104724613
2013-11-25,37.64,34.16,1.0500461028408945,1.7704251269550468,31.770425126955047
2013-11-26,37.35,34.28,1.0507677475490502,1.3296816140185612,31.32968161401856
2013-11-27,37.6,34.55,1.05201684264808,1.2528180865088387,31.25281808650884
2013-11-29,38.13,34.69,1.0537382641999362,1.5758196149042192,31.57581961490422
2013-12-02,38.45,34.58,1.0556429158085037,1.9458679713419471,31.945867971341947
2013-12-03,38.31,34.66,1.0578136891447063,1.6461775342444867,31.646177534244487
2013-12-04,38.94,34.69,1.0598222399125758,2.174766497432742,32.17476649743274
2013-12-05,38.0,34.58,1.0618868092838114,1.2799541349658057,31.279954134965806
2013-12-06,38.36,34.82,1.0632579396144493,1.3373585426248766,31.337358542624877
2013-12-09,38.705,34.93,1.0647191140195784,1.5143613472961235,31.514361347296123
2013-12-10,38.11,34.86,1.0661457836244246,0.944157982852559,30.94415798285256
2013-12-11,37.61,34.54,1.0673784719505965,0.7427475788263962,30.742747578826396
2013-12-12,37.22,34.31,1.06854326797049,0.5582804759324844,30.558280475932484
2013-12-13,36.69,34.2,1.0696607428098877,0.10760259590183807,30.107602595901838
2013-12-16,36.885,34.54,1.0704226620572033,-0.08739874745580067,29.9126012525442
2013-12-17,36.52,34.53,1.0712947338919934,-0.4718071612905277,29.528192838709472
2013-12-18,36.58,34.8,1.0720583782427864,-0.7276315628489627,29.272368437151037
2013-12-19,36.25,34.86,1.0727588676339521,-1.1463741257195679,28.853625874280432
2013-12-20,36.8,34.96,1.073201708368563,-0.7191317245649671,29.280868275435033
2013-12-23,36.62,35.42,1.0738069549933063,-1.4142423458629096,28.58575765413709
2013-12-24,37.08,35.52,1.0737105184493358,-1.0581976153204167,28.941802384679583
2013-12-26,37.44,35.61,1.0736864550156642,-0.7939746631078037,29.206025336892196
2013-12-27,37.29,35.58,1.07380249558456,-0.9158927928986458,29.084107207101354
2013-12-30,37.29,35.51,1.0737031185053514,-0.8371977381250275,29.162802261874972
2013-12-31,37.41,35.74,1.0735292042972526,-0.957933761583817,29.042066238416183
2014-01-02,37.16,35.39,1.0733448352429005,-0.8256737192462538,29.174326280753746
2014-01-03,36.91,35.22,1.0734267045575674,-0.8960885345175242,29.103911465482476
2014-01-06,36.13,35.16,1.0733519033228829,-1.6090529208325535,28.390947079167447
2014-01-07,36.41,35.48,1.072952078742741,-1.658339753792447,28.341660246207553
2014-01-08,35.76,35.48,1.0724668507201207,-2.2911238635498847,27.708876136450115
2014-01-09,35.53,35.25,1.0716236049350343,-2.244732073959959,27.75526792604004
2014-01-10,36.04,35.32,1.070708517539054,-1.7774248394793872,28.222575160520613
2014-01-13,34.98,34.94,1.0698956975067944,-2.402155670887396,27.597844329112604
2014-01-14,35.78,35.53,1.0688591848147804,-2.1965668364691453,27.803433163530855
2014-01-15,36.76,35.96,1.0677691455922376,-1.6369784754968677,28.363021524503132
2014-01-16,36.89,35.95,1.067193282441083,-1.4755985037569346,28.524401496243065
2014-01-17,36.38,35.75,1.066768042331777,-1.756957513361023,28.243042486638977
2014-01-21,36.17,35.93,1.0663868813471502,-2.1452806468031014,27.8547193531969
2014-01-22,35.93,35.89,1.0661001750220316,-2.332335281540715,27.667664718459285
2014-01-23,36.055,35.82,1.0657776831095405,-2.121156608983739,27.87884339101626
2014-01-24,36.805,35.13,1.0647150771214238,-0.5984406592756173,29.401559340724383
2014-01-27,36.03,34.8,1.0645246534323762,-1.0154579394466907,28.98454206055331
2014-01-28,36.27,34.59,1.0642647296526957,-0.5429169986867421,29.457083001313258
2014-01-29,36.66,34.32,1.0641871805090666,0.13709596492883236,30.137095964928832
2014-01-30,36.86,34.74,1.0644396220703358,-0.11863247072346894,29.88136752927653
2014-01-31,37.84,34.82,1.064523719857406,0.7732840745651259,30.773284074565126
2014-02-03,36.48,34.09,1.0649078584758256,0.1772911045590959,30.177291104559096
2014-02-04,36.35,34.22,1.0646424218106536,-0.08206367436056183,29.917936325639438
2014-02-05,35.82,34.25,1.0636968599521481,-0.6116174533610703,29.38838254663893
2014-02-06,36.18,34.63,1.0625951539525398,-0.6176701813764538,29.382329818623546
2014-02-07,36.56,35.1,1.0614840464644437,-0.6980900309019731,29.301909969098027
2014-02-10,36.8,35.17,1.0604211363043012,-0.49501136382227884,29.50498863617772
2014-02-11,37.175,35.6,1.0595893578539741,-0.5463811396014862,29.453618860398514
2014-02-12,37.47,35.74,1.0584834832345829,-0.36019969080399505,29.639800309196005
2014-02-13,37.61,36.0,1.0574692290537595,-0.4588922459353455,29.541107754064655
